movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
The Prestige,"UK, USA",20 Oct 2006,Newmarket Productions,8.5,66,62%,2006,10120100,40000000,53089891,51317475,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,130.0,104407366,261.02%
Music and Lyrics,USA,14 Feb 2007,"Castle Rock Entertainment, Village Roadshow Pictures, Flower Films",6.5,59,56%,2006,10900100,40000000,50572589,95624296,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,104.0,146196885,365.49%
Underworld: Evolution,"USA, Canada",20 Jan 2006,"Lakeshore Entertainment, Screen Gems",6.7,36,56%,2006,8340100,45000000,62318875,51098887,R,Fantasy,Original Screenplay,Live Action,Action,1.0,,113417762,252.04%
The Ant Bully,USA,28 Jul 2006,"DNA Films, Warner Bros., Legendary Pictures, Playtone Productions",5.8,59,4%,2006,130300100,45000000,28142535,21468363,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0.0,89.0,49610898,110.25%
Last Holiday,USA,13 Jan 2006,Paramount Pictures,6.5,52,24%,2006,14590100,45000000,38399961,4943286,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0.0,112.0,43343247,96.32%
16 Blocks,"USA, Germany",03 Mar 2006,"Millennium Films, Cheyenne Enterprises, Equity Pictures Medienfonds, Emmett/Furla Films, Nu Image",6.6,63,31%,2006,130180100,45000000,36895141,28700000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,105.0,65595141,145.77%
Happily N'Ever After,"USA, Germany, Canada, UK",05 Jan 2007,"Vanguard Films Production, BFC Berliner Film Companie, BAF Berlin Animation  Films",4.5,28,73%,2006,29460100,47000000,15849032,22074786,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0.0,87.0,37923818,80.69%
Failure to Launch,USA,10 Mar 2006,"Paramount, Scott Rudin Productions",5.6,47,86%,2006,5010100,50000000,88715192,39687709,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,97.0,128402901,256.81%
Silent Hill,"Canada, France, Japan, Australia, USA",21 Apr 2006,"TriStar Pictures, Davis Films",6.5,31,18%,2006,11810100,50000000,46982632,47721595,R,Contemporary Fiction,Based on Game,Live Action,Horror,0.0,,94704227,189.41%
V for Vendetta,"USA, UK, Germany",17 Mar 2006,"Virtual Studios, Warner Bros., Anarchos Productions Inc., Silver Pictures",8.2,62,6%,2006,6980100,50000000,70511035,59703127,R,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0.0,,130214162,260.43%
Inside Man,USA,24 Mar 2006,"Universal Pictures, 40 Acres &amp; A Mule Filmworks, Imagine Entertainment",7.6,76,34%,2006,5020100,50000000,88634237,97164028,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,128.0,185798265,371.60%
Firewall,USA,10 Feb 2006,"Warner Bros., Beacon Communications, Village Roadshow Pictures",5.8,45,73%,2006,11330100,50000000,48751189,34000000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,105.0,82751189,165.50%
Deck the Halls,USA,22 Nov 2006,"New Regency Pictures, 20th Century Fox",5.0,28,20%,2006,16190100,51000000,35093569,11722238,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,93.0,46815807,91.80%
The Break-Up,USA,02 Jun 2006,"Universal Pictures, Mosaic Media Group",5.8,45,67%,2006,3140100,52000000,118703275,87024032,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,106.0,205727307,395.63%
